"District","Year","Median Income ACS","Population","Median Age","White","Black","Asian"
1,2022,71103,508865,45.2,421801,6667,11873
2,2022,75935,506627,42.6,363326,6308,16900
3,2022,66824,496594,36.4,342886,9556,36502
4,2022,85656,474951,37.9,298410,10771,44675
5,2022,110315,501704,43.1,384207,7413,42458
6,2022,80629,509370,36,264984,51381,70129
7,2022,87293,496298,38,324067,32220,50760
8,2022,85574,503643,40.1,336674,13009,40460
9,2022,87184,479610,37.9,281403,12034,40731
10,2022,83437,518582,36,160984,66834,147708
11,2022,100557,518730,38.6,247969,64437,75934
12,2022,116512,482331,44.5,338528,10619,28327
13,2022,81935,486127,33.5,170731,46157,101197
14,2022,108821,471250,38.2,194998,52296,93514
15,2022,108613,509889,38.7,233503,51782,72040
16,2022,176007,512681,42.3,284045,11353,150182
17,2022,120391,496183,39.3,196882,34284,162778
18,2022,93300,478524,37.3,149170,99156,91250
19,2022,145693,501507,39.8,189795,13748,216453
20,2022,113398,509950,39.9,146552,42722,173795
21,2022,152235,485255,39.2,214490,11420,129250
22,2022,72076,469938,34.2,260907,14562,29209
23,2022,185916,464013,40.6,242125,8863,144980
24,2022,163737,474739,38,89072,12568,290297
25,2022,114377,490687,37,122426,15787,181891
26,2022,166139,466968,35.2,153369,10384,223816
27,2022,63989,521759,31.1,206985,18958,35261
28,2022,154210,471280,40.6,287917,8799,86125
29,2022,91358,495957,33.8,176068,7741,24206
30,2022,94852,477330,40.9,347961,8715,25219
31,2022,52453,494296,31,209065,26580,57404
32,2022,81577,512881,36,335699,14839,29174
33,2022,61803,518699,30.8,253672,14654,17705
34,2022,71647,516550,35.6,308546,44391,20159
35,2022,52512,494253,29.3,238412,28142,21140
36,2022,60820,477999,36.6,196343,18007,13840
37,2022,93292,473241,34.9,289951,8795,25135
38,2022,89971,484775,36.7,295764,8481,24340
39,2022,65135,477463,31.3,187253,73414,14350
40,2022,114937,515144,38.8,264659,25037,78768
41,2022,107463,480487,41.6,254469,30914,66737
42,2022,134573,512205,43.1,369235,9355,48951
43,2022,69844,495637,35.6,181190,15319,36958
44,2022,93649,502619,40.2,330027,19460,55507
45,2022,71874,491452,31.5,192445,52609,23404
46,2022,85496,510158,38.7,247945,23534,58079
47,2022,74338,519299,44,321981,22669,24811
48,2022,90912,473770,38.2,163571,14261,88434
49,2022,85143,468846,42.2,93568,6565,251700
50,2022,83691,487673,33.7,170399,37684,44545
51,2022,89019,480854,38,302109,23198,66470
52,2022,79097,520591,37.3,210822,9919,66796
53,2022,79347,477934,33.9,161131,25614,51574
54,2022,53121,511372,34.9,119102,25005,103105
55,2022,85826,463564,37.8,185362,99683,47082
56,2022,89575,489187,40.3,131208,6842,133618
57,2022,51239,512639,31,122797,80801,20293
58,2022,85668,502694,33.6,208330,24003,37239
59,2022,126661,471095,40.7,253986,10334,107975
60,2022,74748,467906,32.1,153944,55462,19410
61,2022,79309,480274,36.2,157508,123392,28984
62,2022,73155,467664,34.4,152730,28606,28119
63,2022,110467,480102,35.9,245859,31397,52841
64,2022,82982,507675,35.8,189319,14143,46627
65,2022,68233,497394,34.6,133906,97845,38439
66,2022,120799,470553,42.5,235372,18827,117123
67,2022,95212,470523,37.4,179195,17805,148497
68,2022,86596,486381,33.3,178087,7019,49677
69,2022,83496,472117,37,214648,47693,74751
70,2022,88854,466725,39.9,160810,5771,176860
71,2022,122791,495944,38.7,313954,16298,53388
72,2022,119562,491659,45.2,333689,6741,65315
73,2022,115053,496152,34.8,219165,9415,165203
74,2022,102508,510545,37.1,327067,17583,32111
75,2022,110514,469106,40.9,328780,11621,31860
76,2022,110634,464479,38.5,263174,8900,77037
77,2022,120125,490196,38.6,355445,11073,52331
78,2022,99714,518197,35.9,309631,25219,84420
79,2022,72801,514853,34.7,232963,61614,65448
80,2022,84788,518940,35.3,227138,25510,67482
