Districts,R31_2022,R25_2020,R67_2016,R48_2014,R40_2012,R97_2008,R96_2008,R95_2008,R94_2008,R72_2004,R30_2000,R31_2000,R29_2000
1,yes,no,no,Absent,NONE,NV,yes,NV,yes,yes,yes,yes,No Data
2,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,no,no,
3,yes,no,no,no,NONE,yes,yes,yes,yes,no,no,no,
4,yes,yes,yes,Absent,NONE,NV,NV,NV,NV,no,no,no,
5,Absent,no,no,yes,NONE,yes,yes,yes,yes,no,NV,no,
6,yes,no,no,no,NONE,no,no,no,no,yes,no,NV,
7,yes,yes,yes,yes,NONE,yes,yes,no,yes,yes,yes,yes,
8,yes,no,no,yes,NONE,no,no,no,no,yes,yes,yes,
9,yes,no,yes,Absent,NONE,NV,NV,NV,NV,yes,yes,yes,
10,yes,yes,yes,no,NONE,yes,yes,yes,yes,no,no,no,
11,yes,yes,no,Absent,NONE,no,no,no,no,yes,yes,yes,
12,yes,no,no,yes,NONE,no,no,no,no,yes,yes,yes,
13,yes,yes,Absent,Absent,NONE,no,no,no,no,yes,yes,yes,
14,yes,yes,yes,yes,NONE,no,no,no,no,yes,yes,yes,
15,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,no,no,
16,yes,no,yes,yes,NONE,no,no,no,no,yes,NV,NV,
17,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,NV,yes,
18,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,yes,yes,
19,yes,yes,yes,yes,NONE,yes,yes,no,yes,yes,yes,no,
20,yes,yes,yes,yes,NONE,NV,NV,NV,NV,yes,NV,no,
21,Absent,no,no,yes,NONE,no,no,no,no,yes,no,no,
22,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,no,no,
23,yes,no,no,no,NONE,yes,yes,yes,yes,yes,yes,yes,
24,yes,yes,yes,no,NONE,yes,yes,yes,yes,yes,yes,yes,
25,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,no,NV,
26,yes,no,no,yes,NONE,yes,yes,yes,yes,no,no,no,
27,yes,yes,yes,yes,NONE,no,yes,no,yes,yes,yes,yes,
28,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,yes,yes,
29,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,no,yes,
30,yes,yes,yes,Absent,NONE,yes,yes,yes,yes,yes,yes,yes,
31,yes,NV,no,Absent,NONE,yes,yes,yes,yes,NV,yes,yes,
32,Absent,no,no,Absent,NONE,yes,yes,yes,yes,no,no,no,
33,yes,no,no,Absent,NONE,yes,yes,yes,yes,no,yes,yes,
34,yes,no,no,Absent,NONE,yes,yes,yes,yes,no,no,no,
35,Absent,no,no,yes,NONE,NV,yes,NV,yes,yes,no,no,
36,Absent,no,no,yes,NONE,yes,yes,yes,yes,no,yes,yes,
37,yes,yes,yes,Absent,NONE,yes,yes,yes,yes,no,no,no,
38,yes,no,no,Absent,NONE,yes,yes,yes,yes,no,yes,yes,
39,yes,NV,yes,yes,NONE,yes,yes,yes,yes,yes,NV,no,
40,yes,no,NA,Absent,NONE,NV,NV,NV,NV,yes,no,no,
41,yes,yes,yes,Absent,NONE,no,no,no,no,yes,yes,NV,
42,yes,no,no,yes,NONE,no,yes,no,yes,yes,yes,yes,
43,Absent,yes,yes,no,NONE,NV,yes,NV,yes,yes,yes,yes,
44,yes,yes,no,yes,NONE,NV,NV,NV,NV,NV,yes,yes,
45,yes,yes,yes,NA,NONE,NV,yes,NV,yes,yes,yes,yes,
46,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,yes,yes,
47,yes,yes,Absent,Absent,NONE,yes,yes,yes,yes,yes,yes,yes,
48,yes,NV,yes,Absent,NONE,yes,yes,yes,yes,yes,yes,yes,
49,yes,yes,yes,yes,NONE,NV,NV,NV,NV,yes,yes,yes,
50,yes,yes,yes,yes,NONE,NV,yes,NV,yes,NV,yes,yes,
51,yes,yes,yes,Absent,NONE,NV,yes,NV,yes,yes,yes,yes,
52,yes,NV,yes,Absent,NONE,NV,NV,NV,NV,yes,yes,yes,
53,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,NV,no,
54,yes,yes,yes,yes,NONE,NV,yes,NV,yes,yes,yes,yes,
55,yes,no,no,no,NONE,NV,NV,NV,NV,yes,yes,yes,
56,yes,yes,yes,Absent,NONE,yes,yes,yes,yes,yes,yes,yes,
57,yes,yes,yes,Absent,NONE,NV,NV,NV,NV,yes,yes,yes,
58,yes,no,yes,yes,NONE,yes,yes,yes,yes,yes,no,no,
59,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,NV,no,
60,yes,no,no,no,NONE,yes,yes,yes,yes,no,yes,yes,
61,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,NV,no,
62,yes,yes,yes,Absent,NONE,yes,yes,yes,yes,yes,yes,yes,
63,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,no,no,
64,yes,yes,Absent,yes,NONE,yes,yes,yes,yes,no,no,no,
65,yes,no,no,yes,NONE,yes,yes,yes,yes,no,yes,yes,
66,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,no,no,
67,yes,no,no,no,NONE,yes,yes,yes,yes,no,NV,no,
68,yes,no,no,Absent,NONE,yes,yes,yes,yes,NV,yes,yes,
69,yes,NV,yes,no,NONE,yes,yes,yes,yes,yes,no,no,
70,yes,NV,yes,yes,NONE,yes,yes,yes,yes,no,no,NV,
71,yes,no,no,Absent,NONE,yes,yes,yes,yes,no,yes,yes,
72,yes,no,no,yes,NONE,yes,yes,yes,yes,NV,no,no,
73,yes,no,no,Absent,NONE,yes,yes,yes,yes,no,yes,yes,
74,yes,no,no,no,NONE,yes,yes,yes,yes,no,no,no,
75,yes,no,no,Absent,NONE,yes,yes,yes,yes,no,yes,yes,
76,yes,NV,no,yes,NONE,NV,NV,NV,NV,yes,no,no,
77,yes,no,no,no,NONE,yes,yes,yes,yes,no,no,no,
78,yes,yes,yes,Absent,NONE,yes,yes,yes,yes,no,NV,no,
79,yes,yes,yes,yes,NONE,yes,yes,yes,yes,yes,NV,no,
80,yes,yes,yes,yes,NONE,yes,yes,yes,yes,no,yes,yes,
