"Districts","R90_2020","R88_2019","R74_2012"
"1",1,0,1
"2",0,1,0
"3",1,0,1
"4",0,0,0
"5",1,0,1
"6",1,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",1,1,1
"11",1,0,1
"12",0,1,0
"13",0,0,0
"14",0,1,0
"15",0,1,0
"16",0,0,0
"17",1,0,0
"18",1,0,0
"19",0,0,0
"20",0,1,0
"21",1,1,1
"22",1,1,1
"23",1,0,1
"24",1,0,1
"25",0,0,0
"26",1,1,1
"27",1,0,1
"28",1,0,0
"29",1,0,0
"30",1,0,0
"31",0,1,0
"32",1,1,1
"33",1,1,1
"34",1,0,1
"35",0,1,0
"36",1,0,1
"37",1,0,1
"38",1,0,1
"39",0,1,0
"40",1,1,1
"41",1,0,1
"42",1,0,0
"43",1,0,1
"44",1,1,1
"45",1,1,1
"46",1,0,1
"47",1,1,0
"48",1,1,1
"49",1,0,1
