Districts,R90_2020,R88_2019,R74_2012,R71_2009,R67_2007
1,yes,yes,yes,yes,no
1,yes,yes,yes,yes,yes
2,no,no,no,no,no
2,no,no,no,no,yes
3,yes,yes,yes,yes,yes
3,yes,yes,yes,yes,yes
4,no,no,no,no,no
4,no,no,no,no,no
5,yes,yes,no,no,no
5,yes,yes,yes,no,no
6,no,no,no,no,no
6,no,no,no,yes,yes
7,no,no,no,no,no
7,no,no,no,no,no
8,no,no,no,no,no
8,no,no,no,no,no
9,no,no,no,no,no
9,no,no,no,no,no
10,no,no,no,no,no
10,yes,yes,no,no,no
11,yes,yes,yes,yes,yes
11,yes,yes,yes,yes,yes
12,no,no,no,no,no
12,no,no,no,no,no
13,no,no,no,no,no
13,no,no,no,no,no
14,no,no,no,no,no
14,no,no,no,yes,no
15,no,no,no,no,no
15,no,no,no,no,no
16,no,no,no,yes,yes
16,no,no,yes,yes,yes
17,no,no,no,yes,no
17,no,no,yes,yes,yes
18,no,no,no,no,no
18,no,no,no,no,no
19,no,no,yes,yes,no
19,yes,no,yes,yes,yes
20,NV,no,no,no,no
20,no,no,no,no,no
21,yes,yes,yes,yes,yes
21,yes,yes,yes,yes,yes
22,yes,yes,yes,yes,yes
22,yes,yes,yes,yes,yes
23,yes,yes,yes,yes,yes
23,yes,yes,yes,yes,yes
24,yes,yes,yes,yes,yes
24,yes,yes,yes,yes,yes
25,no,no,no,no,no
25,no,no,no,yes,yes
26,no,no,no,no,yes
26,no,no,yes,yes,yes
27,yes,yes,yes,NV,yes
27,yes,yes,yes,yes,yes
28,yes,yes,yes,yes,no
28,yes,yes,yes,yes,yes
29,yes,yes,no,yes,yes
29,yes,yes,yes,yes,yes
30,yes,yes,no,no,no
30,yes,yes,no,no,yes
31,no,no,no,no,no
31,no,no,no,yes,yes
32,yes,yes,yes,yes,yes
32,yes,yes,yes,yes,yes
33,yes,yes,yes,yes,no
33,yes,yes,yes,yes,yes
34,yes,yes,yes,yes,yes
34,yes,yes,yes,yes,yes
35,no,no,yes,yes,yes
35,no,no,yes,yes,yes
36,yes,yes,yes,yes,yes
36,yes,yes,yes,yes,yes
37,yes,yes,yes,yes,NV
37,yes,yes,yes,yes,yes
38,yes,yes,yes,yes,yes
38,yes,yes,yes,yes,yes
39,no,no,no,no,no
39,no,no,no,no,no
40,yes,yes,yes,yes,yes
40,yes,yes,yes,yes,yes
41,yes,yes,yes,yes,yes
41,yes,yes,yes,yes,yes
42,no,no,no,no,no
42,yes,yes,no,yes,yes
43,yes,yes,yes,yes,yes
43,yes,yes,yes,yes,yes
44,NV,yes,no,no,yes
44,yes,yes,yes,yes,yes
45,yes,yes,yes,yes,yes
45,yes,yes,yes,yes,yes
46,yes,yes,yes,yes,yes
46,yes,yes,yes,yes,yes
47,yes,yes,no,yes,yes
47,yes,yes,yes,yes,yes
48,yes,yes,yes,yes,yes
48,yes,yes,yes,yes,yes
49,yes,yes,yes,yes,no
49,yes,yes,yes,yes,yes
