,,Proposition 40,
,,"Redistricting State 
Senate",
,,Yes,No
State Assembly District 1,,,
,Butte,"5,952","2,528"
,Lassen,"6,838","3,209"
,Modoc,"2,503","1,223"
,Nevada,"36,862","10,200"
,Placer,"19,416","6,228"
,Plumas,"6,859","2,585"
,Shasta,"49,002","20,142"
,Sierra,"1,208",475
,Siskiyou,"13,205","4,813"
District Totals,,"141,845","51,403"
,Percent,73.4%,26.6%
,,,
State Assembly District 2,,,
,Del Norte,"5,406","2,646"
,Humboldt,"37,313","13,584"
,Mendocino,"23,212","8,755"
,Sonoma,"65,026","19,539"
,Trinity,"3,520","1,849"
District Totals,,"134,477","46,373"
,Percent,74.4%,25.6%
,,,
State Assembly District 3,,,
,Butte,"53,486","19,993"
,Colusa,"1,998","1,140"
,Glenn,"5,628","2,840"
,Sutter,"18,765","9,445"
,Tehama,"14,821","6,651"
,Yuba,"11,721","6,666"
District Totals,,"106,419","46,735"
,Percent,69.5%,30.5%
,,,
State Assembly District 4,,,
,Colusa,"1,571",857
,Lake,"15,005","6,680"
,Napa,"37,896","12,565"
,Solano,"8,114","3,410"
,Sonoma,"19,710","6,527"
,Yolo,"40,680","12,454"
District Totals,,"122,976","42,493"
,Percent,74.3%,25.7%
,,,
State Assembly District 5,,,
,Alpine,414,174
,Amador,"11,333","5,170"
,Calaveras,"13,811","6,131"
,El Dorado,"37,750","13,789"
,Madera,"23,269","14,026"
,Mariposa,"5,644","2,741"
,Mono,"3,517","1,154"
,Placer,"7,612","2,558"
,Tuolumne,"15,939","6,696"
District Totals,,"119,289","52,439"
,Percent,69.5%,30.5%
,,,
State Assembly District 6,,,
,El Dorado,"22,169","6,741"
,Placer,"89,271","30,028"
,Sacramento,"41,019","13,995"
District Totals,,"152,459","50,764"
,Percent,75.0%,25.0%
,,,
State Assembly District 7,,,
,Sacramento,"85,282","33,335"
,Yolo,"10,014","4,149"
District Totals,,"95,296","37,484"
,Percent,71.8%,28.2%
State Assembly District 8,,,
,Sacramento,"115,601","44,398"
District Totals,,"115,601","44,398"
,Percent,72.3%,27.7%
,,,
State Assembly District 9,,,
,Sacramento,"83,729","35,000"
,San Joaquin,"15,530","7,175"
District Totals,,"99,259","42,175"
,Percent,70.2%,29.8%
,,,
State Assembly District 10,,,
,Marin,"96,610","21,348"
,Sonoma,"62,866","19,983"
District Totals,,"159,476","41,331"
,Percent,79.4%,20.6%
,,,
State Assembly District 11,,,
,Contra Costa,"50,534","22,236"
,Sacramento,901,457
,Solano,"53,512","23,177"
District Totals,,"104,947","45,870"
,Percent,69.6%,30.4%
,,,
State Assembly District 12,,,
,San Joaquin,"32,522","15,588"
,Stanislaus,"65,368","31,227"
District Totals,,"97,890","46,815"
,Percent,67.6%,32.4%
,,,
State Assembly District 13,,,
,San Joaquin,"78,759","37,900"
District Totals,,"78,759","37,900"
,Percent,67.5%,32.5%
,,,
State Assembly District 14,,,
,Contra Costa,"85,261","31,121"
,Solano,"36,253","14,658"
District Totals,,"121,514","45,779"
,Percent,72.6%,27.4%
,,,
State Assembly District 15,,,
,Alameda,"92,920","16,508"
,Contra Costa,"54,441","21,289"
District Totals,,"147,361","37,797"
,Percent,79.6%,20.4%
,,,
State Assembly District 16,,,
,Alameda,"57,068","19,478"
,Contra Costa,"98,159","27,529"
District Totals,,"155,227","47,007"
,Percent,76.8%,23.2%
,,,
State Assembly District 17,,,
,San Francisco,"147,077","31,545"
District Totals,,"147,077","31,545"
,Percent,82.3%,17.7%
,,,
State Assembly District 18,,,
,Alameda,"113,086","38,338"
District Totals,,"113,086","38,338"
,Percent,74.7%,25.3%
,,,
State Assembly District 19,,,
,San Francisco,"102,998","26,629"
,San Mateo,"23,699","8,623"
District Totals,,"126,697","35,252"
,Percent,78.2%,21.8%
,,,
State Assembly District 20,,,
,Alameda,"94,944","37,432"
District Totals,,"94,944","37,432"
,Percent,71.7%,28.3%
,,,
State Assembly District 21,,,
,Merced,"37,784","19,396"
,Stanislaus,"31,810","15,611"
District Totals,,"69,594","35,007"
,Percent,66.5%,33.5%
,,,
State Assembly District 22,,,
