,,Proposition No. 96,
,,Ref on Amd to Indian Gaming Compact: Sycuan,
,, YES,NO
State Assembly District 1,,,
,Del Norte,"3,574","2,914"
,Humboldt,"19,698","22,645"
,Lake,"8,992","9,287"
,Mendocino,"11,898","16,365"
,Sonoma,"16,223","29,839"
,Trinity,"2,753","1,987"
District Totals,,"63,138","83,037"
,Percent,43.2%,56.8%
,,,
State Assembly District 2,,,
,Butte,"2,976","3,098"
,Colusa,"2,412","2,084"
,Glenn,"3,702","3,714"
,Modoc,"1,930","1,332"
,Shasta,"27,294","27,422"
,Siskiyou,"7,507","6,891"
,Sutter,"11,098","10,651"
,Tehama,"8,914","8,725"
,Yolo,"1,952","1,836"
District Totals,,"67,785","65,753"
,Percent,50.8%,49.2%
,,,
State Assembly District 3,,,
,Butte,"29,683","30,084"
,Lassen,"4,353","3,035"
,Nevada,"20,369","18,257"
,Placer,"6,024","5,469"
,Plumas,"4,209","3,659"
,Sierra,795,692
,Yuba,"7,133","6,373"
District Totals,,"72,566","67,569"
,Percent,51.8%,48.2%
,,,
State Assembly District 4,,,
,Alpine,244,222
,El Dorado,"26,120","21,789"
,Placer,"54,178","45,073"
,Sacramento,"10,067","8,691"
District Totals,,"90,609","75,775"
,Percent,54.5%,45.5%
,,,
State Assembly District 5,,,
,Placer,"4,944","3,901"
,Sacramento,"65,899","62,647"
District Totals,,"70,843","66,548"
,Percent,51.6%,48.4%
,,,
State Assembly District 6,,,
,Marin,"41,393","60,394"
,Sonoma,"23,230","40,678"
District Totals,,"64,623","101,072"
,Percent,39.0%,61.0%
,,,
State Assembly District 7,,,
,Napa,"20,170","22,801"
,Solano,"17,138","15,479"
,Sonoma,"21,499","37,947"
District Totals,,"58,807","76,227"
,Percent,43.5%,56.5%
,,,
State Assembly District 8,,,
,Solano,"39,510","33,450"
,Yolo,"23,253","24,567"
District Totals,,"62,763","58,017"
,Percent,52.0%,48.0%
,,,
State Assembly District 9,,,
,Sacramento,"45,028","48,383"
District Totals,,"45,028","48,383"
,Percent,48.2%,51.8%
,,,
State Assembly District 10,,,
,Amador,"6,580","7,730"
,El Dorado,"8,301","6,534"
,Sacramento,"38,723","35,735"
,San Joaquin,"17,464","15,523"
District Totals,,"71,068","65,522"
,Percent,52.0%,48.0%
,,,
State Assembly District 11,,,
,Contra Costa,"57,863","56,323"
District Totals,,"57,863","56,323"
,Percent,50.7%,49.3%
,,,
State Assembly District 12,,,
,San Francisco,"42,344","60,475"
,San Mateo,"5,939","6,276"
District Totals,,"48,283","66,751"
,Percent,42.0%,58.0%
,,,
State Assembly District 13,,,
,San Francisco,"55,116","86,997"
District Totals,,"55,116","86,997"
,Percent,38.8%,61.2%
,,,
State Assembly District 14,,,
,Alameda,"24,336","42,865"
,Contra Costa,"37,353","45,782"
District Totals,,"61,689","88,647"
,Percent,41.0%,59.0%
,,,
State Assembly District 15,,,
,Alameda,"14,548","13,702"
,Contra Costa,"54,537","49,898"
,Sacramento,"16,545","14,025"
,San Joaquin,"2,522","2,127"
District Totals,,"88,152","79,752"
,Percent,52.5%,47.5%
,,,
State Assembly District 16,,,
,Alameda,"49,033","65,789"
District Totals,,"49,033","65,789"
,Percent,42.7%,57.3%
,,,
State Assembly District 17,,,
,Merced,"22,714","17,135"
,San Joaquin,"18,809","15,761"
,Stanislaus,"1,215","1,014"
District Totals,,"42,738","33,910"
,Percent,55.8%,44.2%
,,,
State Assembly District 18,,,
,Alameda,"53,518","54,377"
District Totals,,"53,518","54,377"
,Percent,49.6%,50.4%
,,,
State Assembly District 19,,,
,San Mateo,"58,346","65,835"
District Totals,,"58,346","65,835"
,Percent,47.0%,53.0%
,,,
State Assembly District 20,,,
,Alameda,"44,109","41,453"
,Santa Clara,"7,339","5,825"
District Totals,,"51,448","47,278"
,Percent,52.1%,47.9%
,,,
State Assembly District 21,,,
,San Mateo,"29,218","33,926"
,Santa Clara,"39,352","41,810"
District Totals,,"68,570","75,736"
,Percent,47.5%,52.5%
,,,
State Assembly District 22,,,
,Santa Clara,"52,287","51,602"
District Totals,,"52,287","51,602"
,Percent,50.3%,49.7%
,,,
State Assembly District 23,,,
,Santa Clara,"38,928","32,039"
District Totals,,"38,928","32,039"
,Percent,54.9%,45.1%
,,,
State Assembly District 24,,,
,Santa Clara,"65,223","59,021"
District Totals,,"65,223","59,021"
,Percent,52.5%,47.5%
,,,
State Assembly District 25,,,
,Calaveras,"9,482","7,276"
,Madera,"9,782","7,721"
,Mariposa,"3,803","3,279"
,Mono,"1,877","1,390"
,Stanislaus,"32,799","28,100"
,Tuolumne,"11,702","7,967"
District Totals,,"69,445","55,733"
,Percent,55.5%,44.5%
,,,
State Assembly District 26,,,
,San Joaquin,"29,512","25,987"
,Stanislaus,"18,885","16,136"
District Totals,,"48,397","42,123"
,Percent,53.5%,46.5%
,,,
State Assembly District 27,,,
,Monterey,"28,971","18,946"
,Santa Clara,"8,717","6,934"
,Santa Cruz,"37,867","36,598"
District Totals,,"75,555","62,478"
,Percent,54.7%,45.3%
,,,
State Assembly District 28,,,
,Monterey,"19,902","12,600"
,San Benito,"7,440","5,757"
,Santa Clara,"10,922","9,460"
,Santa Cruz,"5,707","4,496"
District Totals,,"43,971","32,313"
,Percent,57.6%,42.4%
,,,
State Assembly District 29,,,
,Fresno,"59,142","45,755"
,Madera,"6,975","5,175"
,Tulare,0,0
District Totals,,"66,117","50,930"
,Percent,56.5%,43.5%
,,,
State Assembly District 30,,,
,Fresno,"4,237","3,343"
,Kern,"11,990","8,326"
,Kings,"11,937","9,040"
,Tulare,"2,333","1,854"
District Totals,,"30,497","22,563"
,Percent,57.5%,42.5%
,,,
State Assembly District 31,,,
,Fresno,"30,811","23,946"
,Tulare,"2,155","1,755"
District Totals,,"32,966","25,701"
,Percent,56.2%,43.8%
,,,
State Assembly District 32,,,
