,,Turnout,,,,R-74,,,I-502,
"Legislative
District",,"Reg.
Voters","Ballots
Cast                   ",%,,App.,Rej.,,Yes,No
,,,,,,,,,,
Leg Dist 1,King                ,26279,22198,84%,,13621,8040,,12845,8814
,Snohomish           ,60888,51002,84%,,27669,22004,,27166,22624
Leg Dist 1 Total,,87167,73200,84%,,41290,30044,,40011,31438
,,,,,,,,,,
Leg Dist 2,Pierce              ,49195,37584,76%,,15175,21494,,18891,17956
,Thurston            ,30902,23211,75%,,11086,11510,,12108,10684
Leg Dist 2 Total,,80097,60795,76%,,26261,33004,,30999,28640
,,,,,,,,,,
Leg Dist 3,Spokane             ,73392,55140,75%,,28841,25072,,32457,21487
Leg Dist 3 Total,,73392,55140,75%,,28841,25072,,32457,21487
,,,,,,,,,,
Leg Dist 4,Spokane             ,85134,69101,81%,,26451,41338,,33130,34730
Leg Dist 4 Total,,85134,69101,81%,,26451,41338,,33130,34730
,,,,,,,,,,
Leg Dist 5,King                ,89412,74993,84%,,41204,31996,,41672,31628
Leg Dist 5 Total,,89412,74993,84%,,41204,31996,,41672,31628
,,,,,,,,,,
Leg Dist 6,Spokane             ,84060,69820,83%,,31976,36223,,35382,32933
Leg Dist 6 Total,,84060,69820,83%,,31976,36223,,35382,32933
,,,,,,,,,,
Leg Dist 7,Ferry               ,4476,3546,79%,,1210,2218,,1755,1683
,Okanogan            ,11540,9170,79%,,3127,5764,,4344,4588
,Pend Oreille        ,8264,6832,83%,,2242,4407,,3302,3389
,Spokane             ,34158,28417,83%,,9848,18018,,13026,14913
,Stevens             ,28362,22766,80%,,6977,15272,,10384,11932
Leg Dist 7 Total,,86800,70731,81%,,23404,45679,,32811,36505
,,,,,,,,,,
Leg Dist 8,Benton              ,77769,64758,83%,,24015,39343,,27665,35718
Leg Dist 8 Total,,77769,64758,83%,,24015,39343,,27665,35718
,,,,,,,,,,
Leg Dist 9,Adams               ,6457,4892,76%,,1329,3394,,1860,2863
,Asotin              ,13632,10074,74%,,3641,6205,,4829,5027
,Franklin            ,20243,16573,82%,,4900,11318,,6142,10122
,Garfield            ,1531,1295,85%,,361,901,,480,789
,Spokane             ,5698,4814,84%,,1543,3187,,2195,2538
,Whitman             ,21272,17429,82%,,8554,8330,,8844,8168
Leg Dist 9 Total,,68833,55077,80%,,20328,33335,,24350,29507
,,,,,,,,,,
Leg Dist 10,Island              ,50389,42662,85%,,21687,19824,,23205,18543
,Skagit              ,20188,17224,85%,,8472,8275,,9121,7699
,Snohomish           ,18878,15330,81%,,6584,8359,,7790,7283
Leg Dist 10 Total,,89455,75216,84%,,36743,36458,,40116,33525
Leg Dist 11,King                ,69239,54807,79%,,30017,23128,,30233,22783
