Sum of Votes,,RaceOrder,RaceName,BallotOrder,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,401,,620,,621,,622,,623,,624,,625,,626,,627,,628,,629,,630,,631,,700,,Итого
,,State Measures - Referendum Measure No. 88,,State Measures - Initiative Measure No. 976,,Advisory Votes - Advisory Vote No. 20,,Advisory Votes - Advisory Vote No. 21,,Advisory Votes - Advisory Vote No. 22,,Advisory Votes - Advisory Vote No. 23,,Advisory Votes - Advisory Vote No. 24,,Advisory Votes - Advisory Vote No. 25,,Advisory Votes - Advisory Vote No. 26,,Advisory Votes - Advisory Vote No. 27,,Advisory Votes - Advisory Vote No. 28,,Advisory Votes - Advisory Vote No. 29,,Advisory Votes - Advisory Vote No. 30,,Advisory Votes - Advisory Vote No. 31,,Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200,,
,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
DistrictNumber,DistrictName,Approved,Rejected,Yes,No,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Approved,Rejected,
1,LEGISLATIVE DISTRICT 1,21133,20563,22648,20727,24986,15181,22982,17413,23796,16229,12376,28499,23908,15585,20656,19125,20614,19156,23348,17081,16680,23126,25336,14349,21470,18335,16011,23982,28235,13630,607160
2,LEGISLATIVE DISTRICT 2,12130,22338,26002,9490,26185,7742,24731,9354,26630,7374,15755,18774,26380,7402,24113,9672,24629,9180,27432,6815,19956,13857,27357,6657,23809,10067,19082,14777,17637,16588,511915
3,LEGISLATIVE DISTRICT 3,19146,17456,18274,19493,21011,14493,22774,12793,20775,14375,11754,24199,20595,14453,17822,17385,18154,16561,20600,14930,15024,20151,20754,14691,18412,16803,14400,20622,23909,12387,534196
4,LEGISLATIVE DISTRICT 4,15222,27740,26002,18013,31785,10381,29621,12603,31426,10345,16184,26356,31482,10290,28604,13262,27889,13501,31744,10367,22534,19369,31749,10271,28351,13463,22761,18825,22765,19915,632820
5,LEGISLATIVE DISTRICT 5,20632,25575,26204,21509,28797,14879,26111,18182,27840,16142,14731,29839,28049,15077,24921,18532,24702,18738,27335,16902,19692,23815,29741,13739,25061,18446,19402,24151,29552,16569,664865
6,LEGISLATIVE DISTRICT 6,20662,27171,25076,24221,30873,15433,30053,16322,29996,15868,14682,32292,30103,15511,26638,19185,26054,19273,29750,16499,21461,24419,30235,15896,27229,18561,21119,24529,29564,17906,696581
7,LEGISLATIVE DISTRICT 7,13617,31854,31533,15359,36467,8781,34167,11170,36757,8259,21203,24464,36887,7975,34188,10737,33836,10798,37296,8025,27903,16990,37171,7867,33295,11455,27940,16867,20453,25025,678339
