,Turnout,,,Referendum Measure No. 90,,Advisory Vote No. 32,,Advisory Vote No. 33,,Advisory Vote No. 34,,Advisory Vote No. 35,,ESJR No. 8212,,President/Vice President,,,,,,,Governor,,,Lt. Governor,,,Secretary of State,,,State Treasurer,,,State Auditor,,,Attorney General,,,"Commissioner of 
Public Lands",,,"Superintendent of 
Public Instruction",,,Insurance Commissioner,,,"Supreme Ct. 
Justice Pos. 3",,,Supreme Ct. Justice Pos. 4,,"Supreme Ct. 
Justice Pos. 6",,,Supreme Ct. Justice Pos. 7,
District Name,Registered Voters,Ballots Cast,% Turnout,Approved,Rejected,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Approved,Rejected,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Howie Hawkins / Angela Walker,Gloria La Riva / Sunil Freeman,Alyson Kennedy / Malcolm M. Jarrett,Write-in,Jay Inslee,Loren Culp,Write-in,Denny Heck,Marko Liias,Write-in,Kim Wyman,Gael Tarleton,Write-in,Mike Pellicciotti,Duane A. Davidson,Write-in,Pat (Patrice) McCarthy,Chris Leyba,Write-in,Bob Ferguson,Matt Larkin,Write-in,Hilary Franz,Sue Kuehl Pederson,Write-in,Chris Reykdal,Maia Espinoza,Write-in,Mike Kreidler,Chirayu Avinash Patel,Write-in,Dave Larson,Raquel Montoya-Lewis,Write-in,Charles W. Johnson,Write-in,Richard S. Serns,G. Helen Whitener,Write-in,Debra L. Stephens,Write-in
Legislative District 1,106 217,93 372,"87,9%",56 950,33 015,48 689,38 103,45 732,39 621,48 575,36 279,43 694,41 937,43 172,43 053,62 011,27 575,1 843,397,83,37,703,59 793,31 768,367,38 884,29 993,15 194,44 344,45 014,72,52 571,35 858,38,57 281,30 727,50,56 530,32 896,60,56 386,31 819,48,46 998,34 843,288,63 415,23 171,466,30 642,49 940,212,66 158,1 302,22 757,55 110,311,66 368,1 146
Legislative District 2,106 280,86 171,"81,1%",35 726,47 876,62 751,19 386,60 941,20 599,61 554,19 324,54 517,26 496,25 465,55 209,35 289,47 157,2 229,353,67,50,572,33 043,51 807,281,34 015,19 103,24 111,56 455,26 469,124,32 472,49 563,93,34 720,47 224,77,33 185,49 528,114,33 425,48 282,112,33 737,41 473,621,41 478,38 729,539,40 188,33 858,466,61 127,1 956,32 193,39 920,605,61 469,1 900
Legislative District 3,91 050,70 214,"77,1%",39 509,28 723,40 205,25 963,38 890,26 553,39 543,25 329,34 785,30 801,27 214,38 843,39 922,26 940,1 818,461,121,96,506,39 184,29 945,269,27 192,23 219,11 093,32 384,34 340,150,37 005,29 303,110,39 132,27 090,109,39 256,27 584,106,38 404,27 895,115,31 667,28 634,523,41 922,22 987,425,24 498,35 622,448,50 962,1 613,20 672,38 414,580,51 046,1 432
Legislative District 4,113 683,93 601,"82,3%",36 027,55 389,66 248,22 791,63 879,24 491,65 258,22 383,59 750,28 608,29 916,58 740,36 525,53 123,2 324,352,77,41,628,35 132,57 264,309,32 072,24 155,23 212,59 454,29 912,133,32 965,55 939,96,36 209,52 449,97,35 520,53 973,112,34 491,54 322,118,37 313,42 855,653,42 315,44 088,643,42 676,36 901,520,65 726,1 949,35 866,42 136,679,65 969,1 747
Legislative District 5,110 814,97 471,"88,0%",54 976,38 369,54 938,35 388,53 072,36 207,55 465,32 865,49 991,39 159,42 521,46 914,57 868,35 379,2 209,333,50,44,777,54 640,40 964,337,38 492,29 640,16 697,53 293,39 814,86,47 768,44 184,46,52 785,38 699,44,51 695,41 296,82,52 159,39 558,62,47 279,36 525,379,60 300,29 212,549,33 217,47 914,284,64 614,1 513,24 526,53 677,390,64 328,1 471
Legislative District 6,107 630,90 057,"83,7%",44 302,43 163,55 632,29 194,53 332,30 621,55 059,28 177,49 077,34 977,35 413,49 067,44 883,41 319,2 096,348,91,46,726,43 678,44 981,337,33 184,26 394,17 741,49 607,36 161,111,39 541,45 665,96,43 177,41 724,98,42 545,43 313,97,41 813,43 372,99,39 920,37 532,460,48 269,34 661,512,35 795,40 910,402,63 420,1 733,29 438,45 080,617,64 706,1 629
Legislative District 7,106 783,89 895,"84,2%",28 381,58 800,68 691,16 698,67 834,17 020,68 399,15 941,61 347,23 369,24 055,60 447,28 309,58 375,1 703,268,63,43,504,26 705,61 991,264,27 269,18 507,29 003,62 590,23 584,118,25 869,59 776,94,28 386,57 000,121,27 508,58 568,145,27 747,57 910,123,33 739,42 268,656,35 263,47 470,613,43 782,31 126,471,59 552,1 770,36 301,35 979,645,59 977,1 764
Legislative District 8,100 696,82 892,"82,3%",32 007,48 584,57 258,20 790,55 805,21 524,57 168,19 544,51 186,25 982,27 450,49 734,32 595,46 342,2 280,317,95,46,637,31 306,50 202,339,25 977,21 661,24 106,54 196,24 982,85,27 047,51 860,66,32 365,46 107,74,31 276,48 059,79,30 131,48 335,84,34 869,37 789,383,38 607,37 777,498,38 853,32 472,228,57 072,1 349,29 792,38 534,343,57 948,1 219
Legislative District 9,85 769,71 484,"83,3%",29 193,40 058,49 416,17 829,48 535,18 193,49 187,17 080,43 254,23 366,23 675,42 809,27 886,40 531,1 605,283,60,45,453,26 734,43 572,235,23 300,18 055,19 093,45 901,22 610,116,24 720,43 409,87,27 477,40 435,81,26 979,41 470,76,26 163,41 706,83,29 096,32 872,331,32 536,33 362,392,33 391,27 753,268,49 930,978,26 778,32 119,365,50 467,915
